grid_case;machine;size_bus;threads;ls_throughput;ls_percorethroughput;pgm_throughput;pgm_percorethroughput;powermodels_throughput;powermodels_percorethroughput;pp_throughput;pp_percorethroughput;olf_throughput;olf_percorethroughput;exapf_throughput;exapf_percorethroughput;rustpower_throughput;rustpower_percorethroughput
case_ieee30;rtx6k;30;64;1230670.9504401148;19229.233600626794;816710.420062424;12761.100313475376;3126.4881017794523;48.85137659030394;4244.061614845534;66.31346273196147;24180.096019489432;377.8140003045224;;;282289.48629079;4410.773223293594
case_ieee30;rtx6k;30;96;;;913351.0694724469;9514.073640337989;;;4791.986753391181;49.916528681158134;;;;;260075.89238117138;2709.1238789705353
case_ieee30;rtx6k;30;128;1269049.34849633;9914.448035127578;780246.2358084754;6095.673717253714;;;4943.447286077577;38.62068192248107;23001.20471035038;179.69691179961234;;;265984.45641231776;2078.0035657212325
case57;l20;57;1;36286.89568352075;36286.89568352075;13865.902239027811;13865.902239027811;;;141.87292531199378;141.87292531199378;;;;;;
case57;l20;57;2;69761.3326385864;34880.6663192932;27480.848161932034;13740.424080966017;;;279.1534482756352;139.5767241378176;;;;;;
case57;l20;57;4;130711.80253768236;32677.95063442059;53051.698090074875;13262.924522518719;;;547.4464125740808;136.8616031435202;;;;;;
case57;l20;57;8;230149.3857477724;28768.67321847155;109120.56481649572;13640.070602061965;;;1087.4824681380676;135.93530851725845;;;;;;
case57;l20;57;16;389538.7638426993;24346.172740168706;201546.237413131;12596.639838320687;;;2090.894620820348;130.68091380127174;;;;;;
case57;l20;57;32;563120.863421382;17597.52698191819;418285.1733507946;13071.411667212331;;;4079.660133248374;127.4893791640117;;;;;;
case57;l20;57;64;752094.1505592804;11751.471102488757;801335.2874529659;12520.863866452592;;;7129.103150734031;111.39223673021924;;;;;;
case57;l20;57;128;821417.616923271;6417.3251322130545;1368566.219740759;10691.92359172468;;;12908.05896078148;100.84421063110531;;;;;;
case57;l20;57;256;695572.8258595676;2717.081351013936;1583511.1907811554;6185.590588988888;;;15194.067084145481;59.351824547443286;;;;;;
case57;l20;57;512;667351.1942563097;1303.4203012818548;1647876.6133032914;3218.509010357991;;;13714.729479629374;26.78658101490112;;;;;;
case57;l20;57;1024;872599.215044685;852.1476709420753;1643322.8692796207;1604.8074895308796;;;8441.417725777826;8.243571997829909;;;;;;
case57;t4;57;1;10507.76192625102;10507.76192625102;7631.136282001145;7631.136282001145;;;59.95287120621114;59.95287120621114;296.47371944576105;296.47371944576105;;;1923.9683250677056;1923.9683250677056
case57;t4;57;2;19620.94274161421;9810.471370807105;14653.260143477879;7326.6300717389395;;;113.97492543489588;56.98746271744794;540.4006023642685;270.20030118213424;;;2013.9571799939683;1006.9785899969842
case57;t4;57;4;35771.27741944845;8942.819354862113;29435.06378397062;7358.765945992655;;;223.79466478388326;55.948666195970816;1043.1528412746816;260.7882103186704;;;3776.4501905549346;944.1125476387336
case57;t4;57;8;63209.96601144819;7901.245751431024;56840.94775744189;7105.118469680237;;;440.6762697054736;55.0845337131842;1902.8958492631705;237.8619811578963;;;7670.852934764206;958.8566168455258
case57;t4;57;16;79073.26064106172;4942.078790066357;62247.99433829141;3890.4996461432133;;;547.062782853404;34.19142392833775;2306.7200409418297;144.17000255886435;;;11170.411609594514;698.1507255996571
case57;t4;57;24;62462.54020151492;2602.6058417297886;56712.990041359284;2363.0412517233035;;;480.13200367840636;20.005500153266933;2005.206336841275;83.55026403505313;;;10097.604070703137;420.73350294596406
case57;t4;57;32;63971.77044918405;1999.1178265370015;55134.00064433485;1722.937520135464;;;441.22966461656006;13.788427019267502;1910.5719859947922;59.705374562337255;;;9565.46184497862;298.92068265558186
case57;t4;57;48;52090.70703053818;1085.223063136212;47734.536689008746;994.4695143543489;;;364.53493411943094;7.594477794154812;1654.297796135767;34.464537419495144;;;7959.731586367259;165.82774138265123
case57;t4;57;64;55666.47914172403;869.7887365894379;48150.72028194826;752.3550044054416;;;371.6253540360523;5.806646156813317;1629.8784152366572;25.46685023807277;;;8126.559413436999;126.97749083495312
case57;t4;57;96;55078.85072682584;573.7380284044358;;;;;;;1640.834851973283;17.092029708055033;;;7866.192450792005;81.93950469575005
case57;rtx6k;57;1;38719.39883655375;38719.39883655375;14794.7834440497;14794.7834440497;;;147.54760420827458;147.54760420827458;927.5403162884961;927.5403162884961;;;8737.019500645329;8737.019500645329
case57;rtx6k;57;2;75051.54665629775;37525.773328148876;29583.77493419084;14791.88746709542;;;292.32973512991884;146.16486756495942;1714.2582889835912;857.1291444917956;;;15625.95098303276;7812.97549151638
case57;rtx6k;57;4;140221.49949070282;35055.374872675704;58426.10070786643;14606.525176966608;;;553.4493149046024;138.3623287261506;3602.253631019702;900.5634077549255;;;31174.419839897615;7793.604959974404
case57;rtx6k;57;8;247991.3194418928;30998.9149302366;113769.34291498155;14221.167864372694;;;1135.8042459381159;141.97553074226448;6052.895901686356;756.6119877107946;;;60244.23480273587;7530.529350341983
case57;rtx6k;57;16;411969.19190196163;25748.074493872602;223044.064756947;13940.254047309187;;;2036.6239012825083;127.28899383015677;9978.38953573877;623.6493459836731;;;116058.09993508163;7253.631245942602
case57;rtx6k;57;32;522755.7237671578;16336.116367723682;322982.89402907476;10093.215438408586;;;3294.0865356405425;102.94020423876695;13497.355661610434;421.79236442532607;;;147236.5609369028;4601.142529278212
case57;rtx6k;57;64;631933.048264276;9873.953879129313;411581.30346887774;6430.957866701215;;;3956.1580481135693;61.81496950177452;17306.59197680893;270.4154996376395;;;175921.29298726216;2748.7702029259713
case57;rtx6k;57;96;;;427572.4407060324;4453.879590687838;;;4752.370216160624;49.503856418339836;;;;;189146.11451105494;1970.2720261568222
case57;rtx6k;57;128;631143.6438107644;4930.809717271597;391924.5359445282;3061.9104370666264;;;4831.574889588146;37.74667882490739;16242.733294448943;126.89635386288236;;;196540.79156211554;1535.4749340790277
case118;l20;118;1;20996.215317981536;20996.215317981536;4095.2350466308785;4095.2350466308785;403.93476652935425;403.93476652935425;139.09605618539115;139.09605618539115;;;;;;
case118;l20;118;2;39586.9006600283;19793.45033001415;8320.34482574461;4160.172412872305;748.9999332416833;374.49996662084163;262.36234800902974;131.18117400451487;;;;;;
case118;l20;118;4;72946.97940042299;18236.744850105748;16116.249905434137;4029.0624763585342;1262.3970841676971;315.5992710419243;535.6912806272856;133.9228201568214;;;;;;
case118;l20;118;8;122718.97710702843;15339.872138378554;31056.470089461895;3882.058761182737;1044.4287607116164;130.55359508895205;1029.717923404063;128.71474042550787;;;;;;
case118;l20;118;16;190441.21439074219;11902.575899421387;61743.76455473686;3858.9852846710537;802.8889230516929;50.18055769073081;2010.4474394472293;125.65296496545183;;;;;;
case118;l20;118;32;265152.96146535047;8286.030045792202;107253.87073032152;3351.6834603225475;855.1121312781344;26.7222541024417;3899.2426378303885;121.85133243219964;;;;;;
case118;l20;118;64;323021.4225395292;5047.209727180144;212084.97129007024;3313.8276764073476;794.2559090303874;12.410248578599804;7371.355202409006;115.17742503764072;;;;;;
case118;l20;118;128;353696.9136661978;2763.2571380171703;263285.0967560246;2056.914818406442;777.6032099614707;6.07502507782399;11732.988630679407;91.66397367718287;;;;;;
case118;l20;118;256;375057.1639171533;1465.0670465513801;430725.50376023015;1682.521499063399;552.3456331975326;2.1576001296778617;15456.112687350676;60.37544018496358;;;;;;
case118;l20;118;512;385344.2892688546;752.6255649782316;512310.9269823436;1000.6072792623899;;;13413.00771104308;26.197280685631014;;;;;;
case118;l20;118;1024;359047.09636396973;350.6319300429392;536837.7032167241;524.2555695475821;;;7627.759634865807;7.44898401842364;;;;;;
case118;t4;118;1;5624.022183660021;5624.022183660021;1847.3417413093682;1847.3417413093682;166.43992991929534;166.43992991929534;53.34796074284384;53.34796074284384;168.44521617462547;168.44521617462547;1264.43165802035;1264.43165802035;1144.738799207778;1144.738799207778
case118;t4;118;2;10086.742777430563;5043.371388715282;3329.110583706118;1664.555291853059;317.5843118795524;158.7921559397762;105.48888709734301;52.744443548671505;320.33564170543514;160.16782085271757;2068.3451826966357;1034.1725913483178;1415.5886509374902;707.7943254687451
case118;t4;118;4;17719.800603183154;4429.950150795788;6867.845972297388;1716.961493074347;585.009286053216;146.252321513304;206.80968453293391;51.70242113323348;606.8068128515322;151.70170321288305;3573.5695695449817;893.3923923862454;2793.9440560739313;698.4860140184828
case118;t4;118;8;29250.635136130535;3656.329392016317;13561.065360324194;1695.1331700405242;934.644636111305;116.83057951391312;400.61338945954265;50.07667368244283;1059.9323912257298;132.49154890321623;5663.972097634207;707.9965122042759;5469.571715736378;683.6964644670472
case118;t4;118;16;34714.028102409786;2169.6267564006116;17155.98483201142;1072.2490520007138;766.5849602902424;47.91156001814015;521.9259599893263;32.620372499332895;1273.2244750882446;79.57652969301529;6225.6584236091585;389.1036514755724;7916.253369614866;494.7658356009291
case118;t4;118;24;33431.884617338066;1392.995192389086;14517.845778333234;604.9102407638848;511.45007478570056;21.310419782737522;467.8921822775388;19.49550759489745;1097.8411052539032;45.743379385579296;6206.256794490093;258.5940331037539;7905.181203478901;329.3825501449542
case118;t4;118;32;29939.648612397574;935.6140191374242;13694.972276047327;427.96788362647897;374.195568125811;11.693611503931594;423.24444927529197;13.226389039852874;1028.873380351242;32.152293135976315;5421.6023761408;169.4250742544;6752.113443148091;211.00354509837786
case118;t4;118;48;26335.45836384713;548.6553825801485;11457.71690411421;238.70243550237936;250.21512187907214;5.212815039147336;349.55750194278585;7.282447957141372;875.5074591594121;18.23973873248775;;;5445.941043005184;113.457105062608
case118;t4;118;64;26933.890419135714;420.84203779899553;11694.869535848175;182.73233649762773;227.67176123225954;3.5573712692540553;351.5496120998299;5.492962689059842;875.1379540964326;13.67403053275676;;;5601.168395743231;87.51825618348798
case118;t4;118;96;26484.41958283089;275.87937065448847;;;;;;;873.0390608001139;9.09415688333452;;;5347.039245543999;55.698325474416656
case118;rtx6k;118;1;22511.857176442456;22511.857176442456;4405.394686751893;4405.394686751893;410.60665444939906;410.60665444939906;146.42085122976928;146.42085122976928;446.7104009961746;446.7104009961746;3912.139860208872;3912.139860208872;7059.987392007982;7059.987392007982
case118;rtx6k;118;2;41766.600630868445;20883.300315434222;8723.406524167372;4361.703262083686;745.8864874371989;372.94324371859943;276.52987594475866;138.26493797237933;894.635318378665;447.3176591893325;7523.664743171141;3761.8323715855704;12838.17033293526;6419.08516646763
case118;rtx6k;118;4;78266.09788472213;19566.52447118053;17474.719598428237;4368.679899607059;1259.460313518407;314.86507837960175;560.3825602613045;140.09564006532614;1743.7325194340515;435.93312985851287;12405.575002613386;3101.3937506533466;24847.61546486497;6211.903866216243
case118;rtx6k;118;8;133288.01750612378;16661.002188265473;34037.180570595716;4254.6475713244645;1007.0119222255852;125.87649027819815;1090.5633483971399;136.32041854964248;2921.5133415096034;365.1891676887004;18459.302752531945;2307.412844066493;47888.95147659185;5986.118934573981
case118;rtx6k;118;16;202623.0685344216;12663.94178340135;62270.933567290085;3891.9333479556303;862.5646907864319;53.910293174151995;1944.9445357940735;121.5590334871296;5323.939816890772;332.74623855567324;24234.72582137992;1514.670363836245;87786.12251339837;5486.632657087398
case118;rtx6k;118;32;261260.66748490618;8164.395858903318;93050.263816036;2907.820744251125;842.7353773319023;26.335480541621948;3123.3065663495313;97.60333019842285;7345.18877933178;229.53714935411813;29090.392486982426;909.0747652182008;104297.27208038479;3259.2897525120247
